ny,beds,bath,year_built,sqft,price_per_sqft,elevation,price
1,3,2,1989,1325,270,5,358000
1,3,2,1915,1972,278,51,549000
1,1,1,2000,670,280,12,187518
1,3,2,1967,1824,293,102,535000
1,2,2,2000,1047,320,12,334905
1,6,3.5,2001,3080,323,55,995000
1,4,4,1928,2470,344,8,850000
1,3,3,1989,2157,351,90,758000
1,1,1.5,2000,1000,379,9,378551
1,6,3.5,1918,2473,384,97,949000
1,4,2.5,1982,1752,399,140,699900
1,3,2.5,1981,2111,416,139,879000
1,3,2.5,1981,2111,416,139,879000
1,3,3,1925,2633,418,91,1100000
1,2,1,1958,1166,429,136,500000
1,3,1.5,1910,1625,430,94,699000
1,3,1,1900,1520,434,35,660000
1,2,1,1908,1350,444,92,600000
1,4,2,1949,1550,451,11,699000
1,4,2.5,1915,2180,456,62,995000
1,5,2,1972,1940,463,81,899000
1,1,1,1900,1076,464,19,499000
1,4,2,1951,1473,468,21,689000
1,3,2,1942,1441,477,34,688000
1,2,1,1941,1254,478,123,599000
1,4,3,2003,1870,481,54,900000
1,3,1,1940,1325,490,66,648800
1,3,2,1930,1522,491,54,748000
1,2,2,1924,1320,492,72,649000
1,3,2,1975,1474,492,34,725000
1,3,2,1907,1513,495,95,749000
1,2,2,1986,1317,508,23,669000
1,3,2.5,1976,1959,508,163,995000
1,2,2,1909,1700,515,54,875000
1,5,3,1939,1846,515,97,950000
1,4,2,1949,1646,515,69,848000
1,2,1,1936,1450,517,110,749000
1,2,1,1936,1450,517,110,749000
1,3,2,1947,1622,523,106,849000
1,3,2,1948,1665,540,52,899000
1,3,2,1948,1665,540,52,899000
1,2,2,1978,1555,546,139,849000
1,3,2,1914,1954,553,49,1080000
1,2,1.5,1949,1348,556,56,749000
1,2,2,1916,1380,556,31,767000
1,3,2,1964,1250,559,48,699000
1,4,2.3,1904,2492,561,13,1398000
1,3,2,1940,1500,565,42,848000
1,3,2.5,1947,1400,571,35,799000
1,3,3,1975,1555,571,79,888000
1,4,3,1940,2330,575,119,1338800
1,2,1,1921,1125,576,11,648000
1,4,4,1925,2750,580,81,1595000
1,2,1,1907,1200,583,14,699000
1,1,1,1908,600,583,43,350000
1,3,2.5,1968,1868,586,187,1095000
1,5,2.5,1890,3073,586,76,1800000
1,3,2,1954,1350,589,36,795000
1,3,2,1900,2950,593,26,1750000
1,4,1,1932,1767,594,55,1050000
1,5,5,2014,5000,598,108,2990000
1,2,1,1950,1145,601,143,688000
1,4,3.5,1992,3312,602,108,1995000
1,5,3.5,1962,3729,603,174,2250000
1,2,1,1972,990,605,189,599000
1,3,2.5,2015,2133,607,143,1294000
1,6,4,1937,1965,610,79,1198000
1,4,3,1968,2275,610,163,1388000
1,5,3.5,1966,2769,613,176,1698000
1,3,2,1940,1603,617,227,989000
1,1,1.5,1997,1453,619,3,899000
1,6,3,1926,2567,623,52,1600000
1,3,2.5,2015,2133,628,143,1339000
1,2,1,1941,1256,633,63,795000
1,2,1,1941,1256,633,63,795000
1,2,2.5,2000,1640,640,2,1050000
1,3,2,1947,1626,645,179,1049000
1,3,2.5,2015,1391,646,5,899000
1,2,1,1941,1175,647,43,759900
1,3,2,1958,1310,649,118,849900
1,1,1,1927,2275,657,10,1495000
1,1,1,2002,667,658,80,439000
1,2,1,1923,1045,665,106,695000
1,2,1,1949,1050,666,64,699000
1,3,2.5,2015,1391,668,5,929000
1,1,1,1966,791,669,69,529000
1,4,3,1926,5113,669,98,3420000
1,3,2,1977,1731,670,143,1159000
1,3,2,1900,1440,680,33,979000
1,1,1,1978,1063,682,60,725000
1,3,2,1907,1464,682,84,998000
1,2,1,1908,800,688,43,550000
1,3,3.5,1928,3258,691,127,2250000
1,4,4,1900,3816,694,75,2650000
1,2,1,1938,1150,695,36,799000
1,2,2,1990,862,695,181,599000
1,2,1,1945,1040,697,60,725000
1,2,1,1944,995,703,41,699000
1,3,3,1993,2233,705,62,1575000
1,2,1,1915,680,706,13,480000
1,3,3,1977,2100,709,38,1488888
1,3,2,1989,1524,709,185,1080000
1,3,2,2000,1393,714,75,995000
1,2,1.5,1942,1012,720,27,729000
1,2,1,1925,1145,724,71,829000
1,4,4,1948,2475,727,10,1800000
1,3,2.5,1928,1905,729,160,1388000
1,3,1,1890,1772,731,65,1295000
1,2,1,1954,1251,731,24,915000
1,2,1,1954,1251,731,24,915000
1,2,1.3,1904,1493,735,14,1097000
1,3,3.5,1900,2449,735,75,1799000
1,3,2,1909,1877,743,57,1395000
1,3,3,2008,1532,743,44,1139000
1,3,1,1895,1465,747,68,1095000
1,2,2.5,2000,1136,748,5,850000
1,1,1,1920,989,748,41,740200
1,1,1,1907,932,750,59,699000
1,1,1.5,1996,1127,753,13,849000
1,3,1,1925,1752,753,141,1319000
1,3,2,1905,1457,754,67,1099000
1,2,2,2000,1258,755,6,950000
1,2,1,1908,1158,756,84,875000
1,1,1,1982,724,760,24,550000
1,1,1,2000,709,760,5,539000
1,0,1,2000,709,760,5,539000
1,3,2.5,2014,2024,761,136,1539514
1,3,2,1956,1305,762,216,995000
1,3,2,1956,1305,762,216,995000
1,1,1,1983,850,764,163,649000
1,2,1,1907,915,764,89,699000
1,1,1,1983,850,764,163,649000
1,2,1,1924,980,765,48,750000
1,4,4,1948,2347,767,87,1800000
1,5,3.5,1947,3890,770,181,2995000
1,2,2,1911,1100,772,66,849000
1,3,2,1892,1809,773,41,1399000
1,3,2,1926,1675,773,77,1295000
1,2,1,1913,900,777,108,699000
1,2,1,1913,900,777,108,699000
1,2,1,1929,1025,779,74,798888
1,2,1,1890,1100,781,44,859000
1,3,2.5,1975,1642,792,4,1300000
1,1,1,1984,880,794,73,699000
1,3,2.5,2015,2001,794,43,1588000
1,1,1,2000,990,803,7,795000
1,2,2,2006,1113,804,3,895000
1,3,2.5,2015,2001,805,153,1611000
1,5,5.5,1921,4310,811,73,3495000
1,3,2,1922,2025,815,106,1650000
1,2,2,1982,1030,824,24,849000
1,2,2,1982,1030,824,24,849000
1,3,3,1907,1503,828,23,1245000
1,3,2,1922,1266,829,52,1050000
1,1,1,1941,875,846,70,739900
1,3,2.5,2008,2354,847,23,1995000
1,3,2.5,2008,2354,847,23,1995000
1,2,1,1942,707,847,61,599000
1,1,1.5,1996,1607,849,13,1365000
1,3,2,2001,1502,849,13,1275000
1,3,2,1907,1396,856,33,1195000
1,3,2,1907,1396,856,33,1195000
1,3,2,1924,1450,862,83,1250000
1,4,2,1962,1267,867,69,1099000
1,1,1,2004,903,873,4,788000
1,1,1,2004,903,873,4,788000
1,1,1,1973,705,877,72,618000
1,4,2,1951,2050,877,131,1798000
1,2,1,1908,1700,879,98,1495000
1,1,1,1961,680,881,56,599000
1,6,6,1902,7800,884,67,6895000
1,2,2,2004,1453,894,5,1299000
1,1,1,1900,811,894,70,725000
1,1,1,1900,811,894,70,725000
1,1,1,1982,780,896,51,699000
1,3,2,1908,1546,898,55,1389000
1,3,2,1908,1546,898,55,1389000
1,1,1,1993,960,901,17,865000
1,3,3,1925,1970,906,58,1785000
1,2,2,1962,1850,908,89,1680000
1,3,2,1937,1635,914,112,1495000
1,2,2,1909,1302,922,56,1200000
1,1,1,2008,756,925,12,699000
1,2,2,1912,950,925,53,879000
1,1,1.5,2009,835,928,14,775000
1,4,2.5,1907,2746,928,75,2549000
1,4,3,2001,2041,928,61,1895000
1,1,1,1908,750,932,36,699000
1,3,2,1929,1284,935,121,1200000
1,1,1,2008,847,943,29,799000
1,1,1,1983,779,944,12,735000
1,4,3,1890,1789,949,102,1698000
1,1,1,1945,631,949,84,599000
1,1,1,2012,886,958,2,849000
1,1,1,1900,624,960,91,599000
1,1,1,1900,624,960,91,599000
1,1,1,2011,674,963,14,649000
